year,month,crime,count
2006,1,ACCOSTING,25
2006,1,ADMCODE,81
2006,1,AGGRAVATED CRIMINAL CONTEMPT,1
2006,1,AGGRAVATED HARASSMENT,2970
2006,1,AGGRAVATED SEXUAL ASBUSE,45
2006,1,AGRICULTURE  MARKETS LAW,1
2006,1,ALCOHOL,642
2006,1,ALCOHOL SALE TO,3
2006,1,ALCOHOLIC BEVERAGE CONTROL LAW,7
2006,1,APPEARANCE TICKET FAIL TO RESP,1
2006,1,ARSON,175
2006,1,ASSAULT,4739
2006,1,ASSEMBLY,6
2006,1,ATM LOCATION,2
2006,1,ATTEMPT,12
2006,1,BAD,7
2006,1,BAIL JUMPING,5
2006,1,BANK,46
2006,1,BARRESTAURANT,8
2006,1,BICYCLE,1
2006,1,BODEGACONVENIENCE STORE,24
2006,1,BOOKMAK,1
2006,1,BOOKMAKIN,2
2006,1,BRIBERY,52
2006,1,BURGLARS TOOLS,11
2006,1,BURGLARY,2067
2006,1,BY FIR,6
2006,1,BY FIRE,46
2006,1,CAR JACKING,11
2006,1,CHAIN STORE,27
2006,1,CHECK,7
2006,1,CHECK CASHING BUSINESS,5
2006,1,CHILD,127
2006,1,CHILD ABANDONMENT,2
2006,1,CIGARETTE,7
2006,1,CIVILIAN,2484
2006,1,COERCION,13
2006,1,COMMERCIAL,485
2006,1,COMMERCIAL UNCLASSIFIED,128
2006,1,COMPULSORY,2
2006,1,COMPUTER TAMPERTRESSPASS,3
2006,1,CONSPIRACY,1
2006,1,CONTEMPT,133
2006,1,CONTROLLED SUBSTANCE,1638
2006,1,COURSE OF SEXUAL CONDUCT AGAIN,1
2006,1,CREDIT CARD,1
2006,1,CRIMINAL,3525
2006,1,CRIMINAL CONTEMPT,368
2006,1,CRIMINAL DISPOSAL FIREARM,10
2006,1,CRIMINAL MISCHIEF,1543
2006,1,CRIMINAL MISCHIEF TH,307
2006,1,CRIMINAL SUB,8
2006,1,CUSTODIAL INTERFERENCE,18
2006,1,DAY,1079
2006,1,DEVIATE,2
2006,1,DEVICE,6
2006,1,DOCTORDENTIST OFFICE,1
2006,1,DRIVERS LICENSE,32
2006,1,DRUG,5
2006,1,DRUG PARAPHERNALIA,7
2006,1,DWELLING,39
2006,1,EAVESDROPPING,3
2006,1,EDUCATION LAW,2
2006,1,ENDANGERING WELFARE,123
2006,1,ESCAPE,2
2006,1,ETC,1114
2006,1,ETC-MISD,169
2006,1,FACILITATION,1
2006,1,FALSE ALARM FIRE,1
