weekday,hour,mean,std,venue
0,0,7.884615384615385,4.123837191561249,barclays center
0,1,4.269230769230769,3.520892180914225,barclays center
0,2,2.0961538461538463,1.8392199474459152,barclays center
0,3,1.3461538461538463,1.2026867860249544,barclays center
0,4,2.3653846153846154,1.4822987732208397,barclays center
0,5,1.2115384615384615,1.257706260502583,barclays center
0,6,2.5576923076923075,2.0523870515454514,barclays center
0,7,5.3076923076923075,2.347618413881304,barclays center
0,8,7.076923076923077,3.377237261931501,barclays center
0,9,7.653846153846154,2.9762762323348597,barclays center
0,10,6.980769230769231,2.547512316854403,barclays center
0,11,7.634615384615385,3.850280591526306,barclays center
0,12,9.365384615384615,6.899925677786272,barclays center
0,13,7.653846153846154,4.288080220316227,barclays center
0,14,7.711538461538462,2.9126939114883177,barclays center
0,15,10.01923076923077,3.152903328153553,barclays center
0,16,10.288461538461538,3.057209662430814,barclays center
0,17,13.26923076923077,5.987291720116848,barclays center
0,18,19.403846153846153,11.754447827974447,barclays center
0,19,24.307692307692307,16.944590740246557,barclays center
0,20,14.076923076923077,6.292996897722986,barclays center
0,21,12.057692307692308,3.821576830589244,barclays center
0,22,12.115384615384615,3.35280886722623,barclays center
0,23,9.673076923076923,3.2462415906021302,barclays center
1,0,6.826923076923077,3.4226532183074503,barclays center
1,1,3.3653846153846154,1.782582904090228,barclays center
1,2,1.7692307692307692,1.3948839942683635,barclays center
1,3,1.4423076923076923,1.2273590576560132,barclays center
1,4,1.1538461538461537,1.073470008067394,barclays center
1,5,1.0576923076923077,1.1274378647017307,barclays center
1,6,3.1538461538461537,2.1817839021028442,barclays center
1,7,6.211538461538462,2.7248783996004944,barclays center
1,8,7.769230769230769,3.039707058998431,barclays center
1,9,7.75,2.5886251934486117,barclays center
1,10,7.788461538461538,3.3392293255611816,barclays center
1,11,6.615384615384615,2.836414791383355,barclays center
1,12,8.134615384615385,3.3256510266609793,barclays center
1,13,7.019230769230769,2.0721343038404485,barclays center
1,14,7.788461538461538,2.9126939114883177,barclays center
1,15,9.134615384615385,2.4815305693900886,barclays center
1,16,10.134615384615385,3.1061535772155358,barclays center
1,17,13.115384615384615,4.600314763970158,barclays center
1,18,20.03846153846154,9.966535257435627,barclays center
1,19,22.903846153846153,12.717534005912999,barclays center
1,20,17.75,6.665318491132687,barclays center
1,21,15.442307692307692,4.9800128416972065,barclays center
1,22,14.653846153846153,4.894513196105172,barclays center
1,23,12.403846153846153,3.7846937109456023,barclays center
2,0,8.51923076923077,3.159116186998551,barclays center
2,1,4.653846153846154,2.527376500616256,barclays center
2,2,2.673076923076923,1.7345525935667594,barclays center
2,3,1.1538461538461537,1.1779779182426424,barclays center
2,4,1.2692307692307692,1.0685409626395295,barclays center
2,5,1.2115384615384615,1.1433788671240264,barclays center
2,6,2.75,1.7587317177164803,barclays center
2,7,6.038461538461538,2.4967550584751232,barclays center
2,8,8.038461538461538,3.223452895129562,barclays center
2,9,8.153846153846153,2.858661522698598,barclays center
2,10,6.8076923076923075,2.4337372337779035,barclays center
2,11,7.75,3.028459778080432,barclays center
2,12,7.5,2.900304243675541,barclays center
2,13,7.9423076923076925,3.232272687599004,barclays center
2,14,7.769230769230769,2.954659892941362,barclays center
2,15,9.846153846153847,3.674952929588459,barclays center
2,16,11.51923076923077,4.372330040712508,barclays center
2,17,13.807692307692308,3.9508671747960395,barclays center
2,18,19.653846153846153,8.13822887554591,barclays center
2,19,30.557692307692307,16.129881491290533,barclays center
2,20,23.653846153846153,13.528306729086957,barclays center
2,21,18.826923076923077,4.961503384772006,barclays center
2,22,17.25,3.955016670349836,barclays center
2,23,15.288461538461538,5.096467590444629,barclays center
3,0,10.884615384615385,4.2548880594194305,barclays center
3,1,5.634615384615385,2.7154521246612506,barclays center
3,2,2.75,1.8981415059132418,barclays center
3,3,1.7115384615384615,1.3624737948411922,barclays center
3,4,1.7692307692307692,1.2305806793731389,barclays center
3,5,1.3846153846153846,1.0127393670836666,barclays center
3,6,2.730769230769231,1.750242387867918,barclays center
3,7,5.846153846153846,2.4605484434438467,barclays center
3,8,7.961538461538462,3.1620391686970066,barclays center
3,9,8.673076923076923,3.3590448796898715,barclays center
3,10,7.1923076923076925,3.5702389744723866,barclays center
3,11,7.480769230769231,3.171505392633801,barclays center
3,12,7.846153846153846,3.0382181012509997,barclays center
3,13,8.211538461538462,2.899198932372889,barclays center
3,14,8.576923076923077,3.315715129123162,barclays center
3,15,11.365384615384615,3.2661595013694793,barclays center
3,16,11.442307692307692,3.594186272620356,barclays center
3,17,15.403846153846153,5.467406509182537,barclays center
3,18,20.442307692307693,10.010609002920422,barclays center
3,19,24.403846153846153,13.047814955505853,barclays center
3,20,20.557692307692307,10.628141448464408,barclays center
3,21,18.78846153846154,7.236445174476042,barclays center
3,22,18.21153846153846,4.322020852956829,barclays center
3,23,17.846153846153847,5.370159435996676,barclays center
4,0,14.296296296296296,5.053038053580184,barclays center
4,1,8.61111111111111,5.067159029370484,barclays center
4,2,5.111111111111111,3.8395492397910305,barclays center
4,3,2.962962962962963,3.9619080735812178,barclays center
4,4,2.814814814814815,4.157621208816743,barclays center
4,5,1.6851851851851851,2.4787708006269016,barclays center
4,6,2.888888888888889,2.2709541396519914,barclays center
4,7,5.648148148148148,2.6218055668695577,barclays center
4,8,8.074074074074074,3.7810443393719013,barclays center
4,9,8.685185185185185,3.8255549557909085,barclays center
