venue,lon,lat
barclays center,-73.98339597156551,40.68858694005883
beacon theatre,-73.98818399695706,40.77249686600613
bowery ballroom,-73.99739022547254,40.720761352883244
carnegie hall,-73.9948945708489,40.75315083341611
javits,-74.00698954508508,40.7492549730983
lincoln center,-73.98905424029132,40.765338822962
madison square garden,-73.99543756912207,40.74826428608387
moma,-73.96906950178357,40.74549708171519
music hall of williamsburg,-73.97309866820463,40.719896444018524
playstation theater,-73.99973480146008,40.747343886699525
radio city music hall,-73.98587001747372,40.755005326649666
terminal 5,-73.99861575887518,40.76256724256203
the town hall,-73.99827517587934,40.746597751756184
