id,source,start_time,latitude,longitude,venue_escaped
E0-001-095693861-4,eventful,2016-08-26 18:00:00,40.7726351,-73.98414179999999,Lincoln Center for the Performing Arts
E0-001-094773421-0,eventful,2016-07-08 13:00:00,40.7726351,-73.98414179999999,Lincoln Center for the Performing Arts
E0-001-095520203-5,eventful,2016-08-18 23:15:00,40.7689007,-73.9819886,Jazz At Lincoln Center
E0-001-093544789-8,eventful,2016-08-11 19:30:00,40.7726351,-73.98414179999999,Lincoln Center for the Performing Arts
E0-001-093544794-0,eventful,2016-08-04 19:30:00,40.7726351,-73.98414179999999,Lincoln Center for the Performing Arts
E0-001-094083050-6,eventful,2016-06-22 00:00:00,40.7741708,-73.9848604,Film Society of Lincoln Center
E0-001-094265698-0@2016080119,eventful,2016-08-01 19:30:00,40.7689007,-73.9819886,Jazz At Lincoln Center
E0-001-094172971-1@2016070119,eventful,2016-07-01 19:30:00,40.7726351,-73.98414179999999,Lincoln Center for the Performing Arts
E0-001-094333130-7,eventful,2016-06-21 18:30:00,40.77280625284823,-73.98304584921266,Lincoln Center - David Geffen Hall (Formerly Avery Fisher Hall)
E0-001-093544812-5,eventful,2016-08-18 19:30:00,40.7726351,-73.98414179999999,Lincoln Center for the Performing Arts
E0-001-095324049-3@2016073019,eventful,2016-07-30 19:30:00,40.7689007,-73.9819886,Jazz At Lincoln Center
E0-001-094269092-0,eventful,2016-07-07 20:30:00,40.7726351,-73.98414179999999,Lincoln Center for the Performing Arts
E0-001-092365298-3,eventful,2016-07-17 14:00:00,40.7689007,-73.9819886,Jazz At Lincoln Center
E0-001-095321638-0,eventful,2016-08-20 17:00:00,40.7726351,-73.98414179999999,Lincoln Center for the Performing Arts
E0-001-091853155-2,eventful,2016-06-23 21:30:00,40.7689007,-73.9819886,Jazz At Lincoln Center
E0-001-091853165-9@2016062719,eventful,2016-06-27 19:30:00,40.7689007,-73.9819886,Jazz At Lincoln Center
E0-001-094873258-3,eventful,2016-08-30 19:30:00,40.7726351,-73.98414179999999,Lincoln Center for the Performing Arts
E0-001-090948192-7@2016073014,eventful,2016-07-30 14:00:00,40.7726351,-73.98414179999999,Lincoln Center for the Performing Arts
E0-001-095173325-4@2016080719,eventful,2016-08-07 19:30:00,40.7689007,-73.9819886,Jazz At Lincoln Center
E0-001-091655095-1@2016062123,eventful,2016-06-21 23:15:00,40.7689007,-73.9819886,Jazz At Lincoln Center
E0-001-092365295-6,eventful,2016-08-27 10:30:00,40.7726351,-73.98414179999999,Lincoln Center for the Performing Arts
E0-001-093119880-6,eventful,2016-07-21 23:15:00,40.7689007,-73.9819886,Jazz At Lincoln Center
E0-001-093552798-1@2016081619,eventful,2016-08-16 19:30:00,40.7689007,-73.9819886,Jazz At Lincoln Center
E0-001-093552796-3@2016081119,eventful,2016-08-11 19:30:00,40.7689007,-73.9819886,Jazz At Lincoln Center
E0-001-092558463-1,eventful,2016-08-23 19:30:00,40.7726351,-73.98414179999999,Lincoln Center for the Performing Arts
